arrival_date_year,arrival_date_month,total_bookings,cancellation_rate_pct,avg_daily_rate
2018,July,2776,45.4,97.83
2018,August,3889,41.1,105.92
2018,September,5114,40.9,94.82
2018,October,4957,34.9,78.90
2018,November,2340,20.8,60.58
2018,December,2920,33.3,74.08
2019,January,2329,27.4,64.33
2019,February,4195,39.1,69.30
2019,March,4840,30.8,79.02
2019,April,5428,38.0,88.92
2019,May,5478,35.0,96.40
2019,June,5292,39.6,106.98
2019,July,7357,37.6,115.02
2019,August,8958,38.3,126.85
2019,September,10516,39.2,105.06
2019,October,11170,38.1,87.87
2019,November,6809,31.4,73.71
2019,December,6892,34.8,81.19
2020,January,3681,34.0,73.78
2020,February,4177,32.5,76.82
2020,March,4970,33.6,82.24
2020,April,5661,43.5,111.37
2020,May,6313,43.8,119.37
2020,June,5647,43.2,125.76
2020,July,5313,37.3,143.04
2020,August,4925,36.9,164.25
